Alternate Name,Derived Quantity
kerma,absorbed dose (https://app.notion.com/p/absorbed-dose-7839f5c6e61b489cbcae5cc77d5dc48c?pvs=21)
time,duration (https://app.notion.com/p/duration-3639ccb0ce424e6eac600df6c261ab15?pvs=21)
breadth,width (https://app.notion.com/p/width-3c0b24cf917a80dda43bc3e89d696923?pvs=21)
depth,height (https://app.notion.com/p/height-3c0b24cf917a805a91d6c10c8d76471d?pvs=21)
arc length,path length (https://app.notion.com/p/path-length-3c0b24cf917a8060b327d73155cc8440?pvs=21)
angular displacement,rotational displacement (https://app.notion.com/p/rotational-displacement-3c0b24cf917a808ca18becd92a0e2c83?pvs=21)
period,period duration (https://app.notion.com/p/period-duration-3c0b24cf917a80b5ba2ae32422434844?pvs=21)
wavenumber,repetency (https://app.notion.com/p/repetency-3c0b24cf917a8019b12afd8eca0767c8?pvs=21)
angular wavenumber,angular repetency (https://app.notion.com/p/angular-repetency-3c0b24cf917a802882c0f90a754bf853?pvs=21)
phase speed,phase velocity (https://app.notion.com/p/phase-velocity-3c0b24cf917a8014aafdd2ab7d3b7078?pvs=21)
group speed,group velocity (https://app.notion.com/p/group-velocity-3c0b24cf917a808a8690db827c5d9a58?pvs=21)
extinction,attenuation (https://app.notion.com/p/attenuation-3c0b24cf917a80e7b07ff4b6fc47e6f2?pvs=21)
altitude,height (https://app.notion.com/p/height-3c0b24cf917a805a91d6c10c8d76471d?pvs=21)
relative density,relative mass density (https://app.notion.com/p/relative-mass-density-3c0b24cf917a8000ac1ae04ee8cb3bfc?pvs=21)
linear density,linear mass density density (https://app.notion.com/p/linear-mass-density-density-3c1b24cf917a80da9141c6027d9ec629?pvs=21)
surface density,surface mass density (https://app.notion.com/p/surface-mass-density-3c1b24cf917a80269a29f1c5309c29f5?pvs=21)
static friction,static friction force (https://app.notion.com/p/static-friction-force-3c2b24cf917a8021ae63ce4a1f0dc75e?pvs=21)
dynamic friction force,kinetic friction force (https://app.notion.com/p/kinetic-friction-force-3c2b24cf917a80f9a7e8e16e50aae95e?pvs=21)
rolling drag,rolling resistance (https://app.notion.com/p/rolling-resistance-3c2b24cf917a8032845ee710e6227eed?pvs=21)
rolling friction force,rolling resistance (https://app.notion.com/p/rolling-resistance-3c2b24cf917a8032845ee710e6227eed?pvs=21)
Young modulus,modulus of elasticity (https://app.notion.com/p/modulus-of-elasticity-3c2b24cf917a804c8ea8d1a611d0dad4?pvs=21)
shear modulus,modulus of rigidity (https://app.notion.com/p/modulus-of-rigidity-3c2b24cf917a80dbaa1ac1a861b91116?pvs=21)
bulk modulus,modulus of compression (https://app.notion.com/p/modulus-of-compression-3c2b24cf917a80c5b3aacae8e13e4d11?pvs=21)
static friction factor,static friction coefficient (https://app.notion.com/p/static-friction-coefficient-3c2b24cf917a80fba36cfb181f3a54c8?pvs=21)
coefficient of static friction,static friction coefficient (https://app.notion.com/p/static-friction-coefficient-3c2b24cf917a80fba36cfb181f3a54c8?pvs=21)
dynamic friction factor,kinetic friction factor (https://app.notion.com/p/kinetic-friction-factor-3c2b24cf917a80eaa7abd87a4dfc3d19?pvs=21)
drag factor,drag coefficient (https://app.notion.com/p/drag-coefficient-3c2b24cf917a80b4bf23fe2f089155c8?pvs=21)
(viscosity),dynamic viscosity (https://app.notion.com/p/dynamic-viscosity-3c2b24cf917a808ebaa3cb06093be146?pvs=21)
work,mechanical work (https://app.notion.com/p/mechanical-work-484e3ebc766846ad841853990b0e3526?pvs=21)
density,mass density (https://app.notion.com/p/mass-density-3c0b24cf917a802e9e9acd29964ff008?pvs=21)
