Document,Latest Edition,Part,Series,Status,Subject Area,Year,Nimonik PDF Price,ISO price,Amendments,Last edited by,Last edited time
ISO 80000-1,3rd edition,1,ISO 80000,Current,General,2022,$171,CHF 135.00,,Steven Jenkins,"August 20, 2026 9:08 PM"
ISO 80000-2,2nd edition,2,ISO 80000,Current,Mathematics,2019,$229,CHF 181.00,,Steven Jenkins,"August 20, 2026 8:59 PM"
ISO 80000-3,2nd edition,3,ISO 80000,Current,Space and time,2019,$85,CHF 67.00,3:2019/Amd 1:2025 (https://app.notion.com/p/3-2019-Amd-1-2025-3c3b24cf917a80458c3edad50a9c0f5c?pvs=21),Steven Jenkins,"August 20, 2026 9:58 PM"
ISO 80000-4,2nd edition,4,ISO 80000,Current,Mechanics,2019,$126,CHF 100.00,4:2019/Amd 1:2025 (https://app.notion.com/p/4-2019-Amd-1-2025-3c3b24cf917a8051af4dd80e3cc4ab32?pvs=21),Steven Jenkins,"August 20, 2026 9:58 PM"
ISO 80000-5,2nd edition,5,ISO 80000,Current,Thermodynamics,2019,$126,CHF 100.00,5:2019/Amd 1:2025 (https://app.notion.com/p/5-2019-Amd-1-2025-3c3b24cf917a80ddb7e8ea45739a54e3?pvs=21),Steven Jenkins,"August 20, 2026 9:58 PM"
ISO 80000-6,2nd edition,6,ISO 80000,Current,Electromagnetism,2022,$324,CHF 260.00,,Steven Jenkins,"August 20, 2026 8:57 PM"
ISO 80000-7,2nd edition,7,ISO 80000,Current,Light and radiation,2019,$201,CHF 159.00,7:2019/Amd 1:2025 (https://app.notion.com/p/7-2019-Amd-1-2025-3c3b24cf917a80aa9025c31783a3033e?pvs=21),Steven Jenkins,"August 20, 2026 9:58 PM"
ISO 80000-8,2nd edition,8,ISO 80000,Current,Acoustics,2020,$85,CHF 67.00,8:2020/Amd 1:2025 (https://app.notion.com/p/8-2020-Amd-1-2025-3c3b24cf917a807d9407c0e498c57d3f?pvs=21),Steven Jenkins,"August 20, 2026 9:58 PM"
ISO 80000-9,2nd edition,9,ISO 80000,Current,Physical chemistry and molecular physics,2019,$126,CHF 100.00,9:2019/Amd 1:2025 (https://app.notion.com/p/9-2019-Amd-1-2025-3c3b24cf917a80388b73cccb705c447f?pvs=21),Steven Jenkins,"August 20, 2026 9:58 PM"
ISO 80000-10,2nd edition,10,ISO 80000,Current,Atomic and nuclear physics,2019,$229,CHF 181.00,10:2019/Amd 1:2025 (https://app.notion.com/p/10-2019-Amd-1-2025-3c3b24cf917a803a9ca8dc1554d47c7d?pvs=21),Steven Jenkins,"August 20, 2026 9:58 PM"
ISO 80000-11,1st edition,11,ISO 80000,Current,Characteristic numbers,2019,$229,CHF 181.00,11:2019/Amd 1:2025 (https://app.notion.com/p/11-2019-Amd-1-2025-3c3b24cf917a8076a21dd0856c1b520c?pvs=21),Steven Jenkins,"August 20, 2026 9:59 PM"
ISO 80000-12,2nd edition,12,ISO 80000,Current,Condensed matter physics,2019,$126,CHF 100.00,12:2019/Amd 1:2025 (https://app.notion.com/p/12-2019-Amd-1-2025-3c3b24cf917a80b68532db751fdedebe?pvs=21),Steven Jenkins,"August 20, 2026 9:59 PM"
IEC 80000-13,1st edition + Amd.1,13,IEC 80000,Current,Information science and technology,2008,$149,CHF 115.00,,Steven Jenkins,"August 20, 2026 8:59 PM"
IEC 80000-14,1st edition,14,IEC 80000,Current,Telebiometrics related to human physiology,2008,,,,Steven Jenkins,"August 16, 2026 9:04 PM"
The International System of Units (SI Brochure),9th edition,–,BIPM,Current,"The authoritative definition of the SI: the 7 base units, derived units, prefixes, and the 2019 redefinition via fixed fundamental constants",2019,,,,Steven Jenkins,"August 14, 2026 3:11 PM"
ISO 31 series (all parts),Various (1980–1992),0–13,ISO 31 (withdrawn),Withdrawn,Predecessor to ISO 80000. Covered quantities and units across all scientific domains; fully superseded by the ISO/IEC 80000 series,1992,,,,Steven Jenkins,"August 14, 2026 3:11 PM"
