Document,Last edited by,Last edited by 1,Latest Edition,Part,Series,Status,Subject Area,Year
ISO 80000-4,Steven Jenkins,Steven Jenkins,2nd edition,4,ISO 80000,Current,Mechanics,2019
ISO 80000-3,Steven Jenkins,Steven Jenkins,2nd edition,3,ISO 80000,Current,Space and time,2019
ISO 80000-1,Steven Jenkins,Steven Jenkins,3rd edition,1,ISO 80000,Current,General,2022
ISO 80000-2,Steven Jenkins,Steven Jenkins,2nd edition,2,ISO 80000,Current,Mathematics,2019
ISO 80000-5,Steven Jenkins,Steven Jenkins,2nd edition,5,ISO 80000,Current,Thermodynamics,2019
ISO 80000-6,Steven Jenkins,Steven Jenkins,2nd edition,6,ISO 80000,Current,Electromagnetism,2022
ISO 80000-7,Steven Jenkins,Steven Jenkins,2nd edition,7,ISO 80000,Current,Light and radiation,2019
ISO 80000-8,Steven Jenkins,Steven Jenkins,2nd edition,8,ISO 80000,Current,Acoustics,2020
ISO 80000-9,Steven Jenkins,Steven Jenkins,2nd edition,9,ISO 80000,Current,Physical chemistry and molecular physics,2019
ISO 80000-10,Steven Jenkins,Steven Jenkins,2nd edition,10,ISO 80000,Current,Atomic and nuclear physics,2019
ISO 80000-11,Steven Jenkins,Steven Jenkins,1st edition,11,ISO 80000,Current,Characteristic numbers,2019
ISO 80000-12,Steven Jenkins,Steven Jenkins,2nd edition,12,ISO 80000,Current,Condensed matter physics,2019
IEC 80000-13,Steven Jenkins,Steven Jenkins,1st edition + Amd.1,13,IEC 80000,Current,Information science and technology,2008
IEC 80000-14,Steven Jenkins,Steven Jenkins,1st edition,14,IEC 80000,Current,Telebiometrics related to human physiology,2008
The International System of Units (SI Brochure),Steven Jenkins,Steven Jenkins,9th edition,–,BIPM,Current,"The authoritative definition of the SI: the 7 base units, derived units, prefixes, and the 2019 redefinition via fixed fundamental constants",2019
ISO 31 series (all parts),Steven Jenkins,Steven Jenkins,Various (1980–1992),0–13,ISO 31 (withdrawn),Withdrawn,Predecessor to ISO 80000. Covered quantities and units across all scientific domains; fully superseded by the ISO/IEC 80000 series,1992
