Name,LaTeX,Last edited by,Last edited time,📐 ISQ Quantities
I,$I$,Steven Jenkins,"August 18, 2026 9:40 AM","electric current (https://app.notion.com/p/electric-current-2ec50445913e4114b8d129774c98cf40?pvs=21), length (https://app.notion.com/p/length-788561f5dc3b4847b77dac2496bbf737?pvs=21)"
L,$L$,Steven Jenkins,"August 18, 2026 9:41 AM",length (https://app.notion.com/p/length-788561f5dc3b4847b77dac2496bbf737?pvs=21)
b,$b$,Steven Jenkins,"August 18, 2026 10:03 AM",width (https://app.notion.com/p/width-3c0b24cf917a80dda43bc3e89d696923?pvs=21)
B,$B$,Steven Jenkins,"August 20, 2026 11:22 AM","width (https://app.notion.com/p/width-3c0b24cf917a80dda43bc3e89d696923?pvs=21), modulus of compression (https://app.notion.com/p/modulus-of-compression-3c2b24cf917a80c5b3aacae8e13e4d11?pvs=21)"
h,$h$,Steven Jenkins,"August 18, 2026 10:03 AM",height (https://app.notion.com/p/height-3c0b24cf917a805a91d6c10c8d76471d?pvs=21)
H,$H$,Steven Jenkins,"August 18, 2026 10:02 AM",height (https://app.notion.com/p/height-3c0b24cf917a805a91d6c10c8d76471d?pvs=21)
d,$d$,Steven Jenkins,"August 18, 2026 10:02 AM","diameter (https://app.notion.com/p/diameter-3c0b24cf917a802a821ddc88b63514d6?pvs=21), distance (https://app.notion.com/p/distance-3c0b24cf917a807889e2f4a8cc76a6ea?pvs=21), thickness (https://app.notion.com/p/thickness-3c0b24cf917a80adb1b9e5b7be0f7fd1?pvs=21), relative mass density (https://app.notion.com/p/relative-mass-density-3c0b24cf917a8000ac1ae04ee8cb3bfc?pvs=21)"
delta,$\delta$,Steven Jenkins,"August 18, 2026 10:01 AM","thickness (https://app.notion.com/p/thickness-3c0b24cf917a80adb1b9e5b7be0f7fd1?pvs=21), damping coefficient (https://app.notion.com/p/damping-coefficient-3c0b24cf917a80428cead16a5a83c19b?pvs=21)"
D,$D$,Steven Jenkins,"August 18, 2026 10:01 AM",diameter (https://app.notion.com/p/diameter-3c0b24cf917a802a821ddc88b63514d6?pvs=21)
r,$r$,Steven Jenkins,"August 18, 2026 10:01 AM","radius (https://app.notion.com/p/radius-3c0b24cf917a80398d37d9478b4f3118?pvs=21), distance (https://app.notion.com/p/distance-3c0b24cf917a807889e2f4a8cc76a6ea?pvs=21)"
R,$R$,Steven Jenkins,"August 18, 2026 10:01 AM",radius (https://app.notion.com/p/radius-3c0b24cf917a80398d37d9478b4f3118?pvs=21)
