Prefix,Defining Document,Exponent (base 10),Factor,Last edited by,Last edited time,Range,Symbol,Year Adopted
quetta,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),30,1 000 000 000 000 000 000 000 000 000 000,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),Q,2022
ronna,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),27,1 000 000 000 000 000 000 000 000 000,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),R,2022
exa,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),18,1 000 000 000 000 000 000,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),E,1975
yotta,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),24,1 000 000 000 000 000 000 000 000,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),Y,1991
zetta,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),21,1 000 000 000 000 000 000 000,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),Z,1991
peta,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),15,1 000 000 000 000 000,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),P,1975
giga,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),9,1 000 000 000,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),G,1960
tera,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),12,1 000 000 000 000,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),T,1960
mega,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),6,1 000 000,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),M,1960
kilo,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),3,1 000,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),k,1795
hecto,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),2,100,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),h,1795
deca,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),1,10,Steven Jenkins,"August 14, 2026 3:19 PM",Large (positive),da,1795
deci,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-1,0.1,Steven Jenkins,"August 14, 2026 3:19 PM",Small (negative),d,1795
centi,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-2,0.01,Steven Jenkins,"August 14, 2026 3:19 PM",Small (negative),c,1795
milli,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-3,0.001,Steven Jenkins,"August 14, 2026 3:19 PM",Small (negative),m,1795
micro,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-6,0.000 001,Steven Jenkins,"August 14, 2026 3:20 PM",Small (negative),μ,1960
nano,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-9,0.000 000 001,Steven Jenkins,"August 14, 2026 3:20 PM",Small (negative),n,1960
pico,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-12,0.000 000 000 001,Steven Jenkins,"August 14, 2026 3:20 PM",Small (negative),p,1960
femto,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-15,0.000 000 000 000 001,Steven Jenkins,"August 14, 2026 3:20 PM",Small (negative),f,1964
atto,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-18,0.000 000 000 000 000 001,Steven Jenkins,"August 14, 2026 3:20 PM",Small (negative),a,1964
zepto,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-21,0.000 000 000 000 000 000 001,Steven Jenkins,"August 14, 2026 3:20 PM",Small (negative),z,1991
yocto,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-24,0.000 000 000 000 000 000 000 001,Steven Jenkins,"August 14, 2026 3:20 PM",Small (negative),y,1991
ronto,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-27,0.000 000 000 000 000 000 000 000 001,Steven Jenkins,"August 14, 2026 3:20 PM",Small (negative),r,2022
quecto,SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),-30,0.000 000 000 000 000 000 000 000 000 001,Steven Jenkins,"August 14, 2026 3:20 PM",Small (negative),q,2022
