Defining Document,Unit,Symbol,Expressed In Base Units,Expressed in Other SI Units,Type,Referencing Document,ISQ Quantities,Issues,Last edited by,Last edited time
SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),kilogram,kg,,,Base,https://app.notion.com/70dc8fd590b7446cbf9b4a0a6c89c177,mass (https://app.notion.com/p/mass-3e1ff023e9d445899881756103f798f5?pvs=21),,Steven Jenkins,"August 22, 2026 9:03 AM"
SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),newton,N,kg m s⁻²,,Special,https://app.notion.com/70dc8fd590b7446cbf9b4a0a6c89c177,"force (https://app.notion.com/p/force-2c13ac89368d4e81aafd213bd889562e?pvs=21), weight (https://app.notion.com/p/weight-3c1b24cf917a80a797b7ca4f94c4b8e4?pvs=21), kinetic friction force (https://app.notion.com/p/kinetic-friction-force-3c2b24cf917a80f9a7e8e16e50aae95e?pvs=21), static friction force (https://app.notion.com/p/static-friction-force-3c2b24cf917a8021ae63ce4a1f0dc75e?pvs=21), rolling resistance (https://app.notion.com/p/rolling-resistance-3c2b24cf917a8032845ee710e6227eed?pvs=21), drag force (https://app.notion.com/p/drag-force-3c2b24cf917a808bb8edf4e677d1d118?pvs=21)",,Steven Jenkins,"August 22, 2026 9:00 AM"
SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),one,1,,,One,"https://app.notion.com/8688695438424d3e96f09b1e3e4c141b,https://app.notion.com/70dc8fd590b7446cbf9b4a0a6c89c177","rotation (https://app.notion.com/p/rotation-3c0b24cf917a8051a754d0ffc137578e?pvs=21), logarithmic decrement (https://app.notion.com/p/logarithmic-decrement-3c0b24cf917a80bbae7ae130bd442258?pvs=21), relative mass density (https://app.notion.com/p/relative-mass-density-3c0b24cf917a8000ac1ae04ee8cb3bfc?pvs=21), strain (https://app.notion.com/p/strain-3c2b24cf917a802b8149d65c0901be27?pvs=21), relative linear strain (https://app.notion.com/p/relative-linear-strain-3c2b24cf917a8079a86ce8e7d79be32d?pvs=21), shear strain (https://app.notion.com/p/shear-strain-3c2b24cf917a808494b2c69b2e9f2c0b?pvs=21), relative volume strain (https://app.notion.com/p/relative-volume-strain-3c2b24cf917a80249d65c83a66133ef4?pvs=21), Poisson number (https://app.notion.com/p/Poisson-number-3c2b24cf917a8087ade5dacddbc1ce26?pvs=21), static friction coefficient (https://app.notion.com/p/static-friction-coefficient-3c2b24cf917a80fba36cfb181f3a54c8?pvs=21), kinetic friction factor (https://app.notion.com/p/kinetic-friction-factor-3c2b24cf917a80eaa7abd87a4dfc3d19?pvs=21), rolling resistance factor (https://app.notion.com/p/rolling-resistance-factor-3c2b24cf917a80d1be26c22bc9f87ab0?pvs=21), drag coefficient (https://app.notion.com/p/drag-coefficient-3c2b24cf917a80b4bf23fe2f089155c8?pvs=21), efficiency (https://app.notion.com/p/efficiency-3c2b24cf917a805a8952ce96d51624ad?pvs=21)",,Steven Jenkins,"August 22, 2026 9:27 AM"
SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),weber,Wb,kg m² s⁻² A⁻¹,V s,Special,https://app.notion.com/a1d9eab4687e44e1a85a1269d9c17f42,magnetic flux (https://app.notion.com/p/magnetic-flux-8210cf2c146a4282b5cb2ce1e628e4df?pvs=21),,Steven Jenkins,"August 22, 2026 9:07 AM"
SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),siemens,S,kg⁻¹ m⁻² s³ A²,A/V,Special,https://app.notion.com/a1d9eab4687e44e1a85a1269d9c17f42,electrical conductance (https://app.notion.com/p/electrical-conductance-a0f6433592934ccea15da0cbc684641f?pvs=21),,Steven Jenkins,"August 22, 2026 9:07 AM"
SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),sievert,Sv,m² s⁻²,J/kg,Special,https://app.notion.com/43276c559571474cb99432ee2fe109e7,equivalent dose (https://app.notion.com/p/equivalent-dose-01c06b22739d47e589aecee8b467eab5?pvs=21),,Steven Jenkins,"August 22, 2026 9:08 AM"
SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),katal,kat,mol s⁻¹,,Special,https://app.notion.com/118d95dffdd445ec88175fa3a35c95c9,catalytic activity (https://app.notion.com/p/catalytic-activity-e3f537502edc48ce8b7896b316685038?pvs=21),,Steven Jenkins,"August 22, 2026 9:00 AM"
SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),gray,Gy,m² s⁻²,J/kg,Special,https://app.notion.com/43276c559571474cb99432ee2fe109e7,absorbed dose (https://app.notion.com/p/absorbed-dose-7839f5c6e61b489cbcae5cc77d5dc48c?pvs=21),,Steven Jenkins,"August 22, 2026 9:09 AM"
SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),lux,lx,cd sr m⁻²,lm/m²,Special,https://app.notion.com/3f5c34443dde4c8a86a863db6c59f421,illuminance (https://app.notion.com/p/illuminance-fd79f64a87b34930b84b52df479c7b59?pvs=21),not base units (https://app.notion.com/p/not-base-units-3c4b24cf917a80e984bbde96422a8b2d?pvs=21),Steven Jenkins,"August 22, 2026 9:09 AM"
SI Brochure (https://app.notion.com/p/SI-Brochure-199c98b4498d401db8d1b3ca696d8d14?pvs=21),becquerel,Bq,s⁻¹,,Special,https://app.notion.com/43276c559571474cb99432ee2fe109e7,activity of a radionuclide (https://app.notion.com/p/activity-of-a-radionuclide-cdaf735460f64f6d862d48281a72dca2?pvs=21),,Steven Jenkins,"August 22, 2026 9:00 AM"
